ell  q  S
0.04688044605 0.04410417743 0.3017092245
0.04539145143 0.04311120208 0.2905859248
0.04391251201 0.04213199313 0.279658878
0.04244445541 0.04116681674 0.2689290547
0.04098811364 0.04021593749 0.258397408
0.03954432236 0.03927961828 0.2480648735
0.03811392001 0.03835812004 0.2379323688
0.03669774703 0.03745170162 0.2280007941
0.03529664498 0.03656061959 0.2182710315
0.0339114557 0.03568512803 0.2087439452
0.03254302043 0.0348254784 0.1994203816
0.0311921789 0.03398191931 0.1903011687
0.02985976847 0.03315469638 0.1813871167
0.0285466232 0.03234405204 0.1726790172
0.02725357294 0.03155022539 0.1641776439
0.02598144239 0.03077345199 0.1558837518
0.0247310502 0.03001396371 0.1477980776
0.02350320802 0.02927198859 0.1399213396
0.02229871956 0.02854775063 0.1322542375
0.02111837968 0.02784146965 0.1247974522
0.0199629734 0.02715336115 0.1175516462
0.01883327505 0.02648363613 0.110517463
0.01773004724 0.02583250094 0.1036955275
0.01665404003 0.02520015717 0.09708644553
0.01560598997 0.02458680142 0.09069080427
0.01458661918 0.02399262527 0.0845091718
0.01359663447 0.02341781504 0.07854209718
0.01263672648 0.02286255171 0.07279011045
0.01170756876 0.02232701079 0.06725372254
0.01080981695 0.02181136216 0.06193342523
0.009944107945 0.02131576997 0.05682969108
0.009111059039 0.02084039252 0.05194297345
0.008311267169 0.02038538215 0.04727370639
0.007545308117 0.01995088509 0.04282230467
0.006813735759 0.01953704142 0.03858916368
0.00611708134 0.0191439849 0.03457465943
0.005455852768 0.01877184292 0.03077914851
0.004830533942 0.01842073638 0.02720296807
0.004241584108 0.01809077961 0.02384643576
0.00368943724 0.01778208029 0.02070984972
0.00317450146 0.01749473936 0.01779348858
0.002697158488 0.01722885097 0.01509761136
0.002257763122 0.01698450237 0.01262245755
0.00185664276 0.01676177389 0.01036824699
0.001494096951 0.01656073886 0.008335179915
0.001170396989 0.01638146353 0.006523436919
0.0008857855416 0.01622400707 0.004933178929
0.000640476314 0.01608842151 0.003564547201
0.0004346537599 0.01597475167 0.002417663305
0.0002684728252 0.01588303518 0.001492629113
0.0001420587355 0.0158133024 0.0007895267918
5.550682314e-05 0.01576557644 0.0003084187958
8.882395573e-06 0.01573987311 4.934785966e-05
0 0.01573497686 0
