t  S  q  ell
0.7425 2.617766127 0.5466310265 0.4635171615
0.744 2.594225457 0.5466310265 0.4626481425
0.7455 2.570676417 0.5466310265 0.4617581035
0.747 2.547121099 0.5466310265 0.4608466104
0.7485 2.523561596 0.5466310265 0.4599132241
0.75 2.5 0.5466310265 0.4589575007
0.7515 2.476438404 0.5466310265 0.4579789915
0.753 2.452878901 0.5466310265 0.4569772435
0.7545 2.429323583 0.5466310265 0.4559517988
0.756 2.405774543 0.5466310265 0.4549021959
0.7575 2.382233873 0.5466310265 0.453827969
0.759 2.358703664 0.5466310265 0.4527286485
0.7605 2.335186005 0.5466310265 0.4516037615
0.762 2.311682986 0.5466310265 0.4504528316
0.7635 2.288196695 0.5466310265 0.4492753795
0.765 2.264729217 0.5466310265 0.4480709231
0.7665 2.241282637 0.5466310265 0.4468389778
0.768 2.217859038 0.5466310265 0.445579057
0.7695 2.1944605 0.5466310265 0.4442906722
0.771 2.171089102 0.5466310265 0.4429733332
0.7725 2.14774692 0.5466310265 0.4416265491
0.774 2.124436027 0.5466310265 0.4402498279
0.7755 2.101158494 0.5466310265 0.4388426773
0.777 2.077916388 0.5466310265 0.4374046052
0.7785 2.054711774 0.5466310265 0.4359351197
0.78 2.031546714 0.5466310265 0.4344337301
0.7815 2.008423263 0.5466310265 0.4328999469
0.783 1.985343478 0.5466310265 0.4313332825
0.7845 1.962309407 0.5466310265 0.4297332516
0.786 1.939323098 0.5466310265 0.4280993719
0.7875 1.91638659 0.5466310265 0.4264311643
0.789 1.893501923 0.5466310265 0.4247281539
0.7905 1.870671128 0.5466310265 0.4229898701
0.792 1.847896234 0.5466310265 0.4212158477
0.7935 1.825179264 0.5466310265 0.4194056269
0.795 1.802522235 0.5466310265 0.4175587545
0.7965 1.77992716 0.5466310265 0.4156747843
0.798 1.757396046 0.5466310265 0.4137532777
0.7995 1.734930895 0.5466310265 0.4117938045
0.801 1.712533701 0.5466310265 0.4097959436
0.8025 1.690206455 0.5466310265 0.4077592835
0.804 1.667951139 0.5466310265 0.4056834234
0.8055 1.64576973 0.5466310265 0.4035679738
0.807 1.6236642 0.5466310265 0.4014125572
0.8085 1.60163651 0.5466310265 0.3992168087
0.81 1.579688618 0.5466310265 0.3969803775
0.8115 1.557822474 0.5466310265 0.3947029267
0.813 1.536040019 0.5466310265 0.3923841352
0.8145 1.514343189 0.5466310265 0.3900236977
0.816 1.492733911 0.5466310265 0.3876213258
0.8175 1.471214103 0.5466310265 0.3851767494
0.819 1.449785679 0.5466310265 0.3826897166
0.8205 1.428450541 0.5466310265 0.3801599954
0.822 1.407210583 0.5466310265 0.3775873744
0.8235 1.386067694 0.5466310265 0.3749716634
0.825 1.365023751 0.5466310265 0.3723126947
0.8265 1.344080622 0.5466310265 0.3696103238
0.828 1.32324017 0.5466310265 0.3668644305
0.8295 1.302504243 0.5466310265 0.3640749195
0.831 1.281874686 0.5466310265 0.3612417219
0.8325 1.261353329 0.5466310265 0.3583647955
0.834 1.240941996 0.5466310265 0.3554441262
0.8355 1.2206425 0.5466310265 0.3524797287
0.837 1.200456643 0.5466310265 0.3494716475
0.8385 1.18038622 0.5466310265 0.3464199579
0.84 1.160433013 0.5466310265 0.3433247666
0.8415 1.140598793 0.5466310265 0.3401862131
0.843 1.120885323 0.5466310265 0.3370044703
0.8445 1.101294355 0.5466310265 0.3337797454
0.846 1.081827627 0.5466310265 0.3305122808
0.8475 1.06248687 0.5466310265 0.3272023549
0.849 1.043273801 0.5466310265 0.3238502831
0.8505 1.024190127 0.5466310265 0.3204564186
0.852 1.005237542 0.5466310265 0.317021153
0.8535 0.9864177315 0.5466310265 0.3135449173
0.855 0.9677323659 0.5466310265 0.3100281824
0.8565 0.9491831051 0.5466310265 0.3064714603
0.858 0.9307715968 0.5466310265 0.3028753043
